"","x"
"457","25130"
"458","25093"
"459","25639"
"460","71772"
"461","24946"
"462","98168"
"463","57585"
"464","29849"
"465","75602"
"466","78623"
"467","78204"
"468","79381"
"469","26519"
"470","25160"
"471","93254"
"472","24894"
"473","24826"
"474","82432"
"475","57623"
"476","37312"
"477","75566"
"478","37178"
"479","24870"
"480","25125"
"481","05822"
"482","93604"
"483","25183"
"484","53952"
"485","37075"
"486","37804"
"487","29074"
"488","37692"
"489","78751"
"490","38016"
"491","76251"
"492","25534"
"493","95963"
"494","25022"
"495","25411"
"496","26266"
"497","99185"
"498","37366"
"499","57260"
"500","37880"
"501","78142"
"502","38104"
"503","26374"
"504","94534"
"505","25515"
"506","54928"
"507","82411"
"508","54129"
"509","37150"
"510","37814"
"511","37848"
"512","38260"
"513","78343"
"514","37762"
"515","95338"
"516","99032"
"517","98650"
"518","82845"
"519","62092"
"520","53405"
"521","37060"
"522","37016"
"523","75756"
"524","37175"
"525","25420"
"526","95642"
"527","24881"
"528","26136"
"529","61232"
"530","30251"
"531","62520"
"532","65325"
"533","37080"
"534","15357"
"535","15845"
"536","79035"
"537","93620"
"538","22936"
"539","98503"
"540","84014"
"541","84043"
"542","95938"
"543","06779"
"544","12791"
"545","12058"
"546","16668"
"547","17047"
"548","95947"
"549","16851"
"550","22066"
"551","23075"
"552","24352"
"553","84522"
"554","84652"
"555","05059"
"556","05736"
"557","12976"
"558","01605"
"559","30222"
"560","92544"
"561","69165"
"562","07094"
"563","16914"
"564","17868"
"565","16733"
"566","17221"
"567","17049"
"568","24641"
"569","75692"
"570","05669"
"571","90712"
"572","84115"
"573","84776"
"574","33409"
"575","32061"
"576","83123"
"577","19116"
"578","79560"
"579","75238"
"580","77074"
"581","84328"
"582","93226"
"583","84653"
"584","82005"
"585","05757"
"586","05761"
"587","53220"
"588","15337"
"589","02826"
"590","15345"
"591","29204"
"592","76049"
"593","95140"
"594","77044"
"595","05855"
"596","23153"
"597","54519"
"598","53580"
"599","53922"
"600","53097"
"601","15030"
"602","15129"
"603","29436"
"604","90278"
"605","75931"
"606","78877"
"607","20152"
"608","54981"
"609","54486"
"610","16403"
"611","16341"
"612","17271"
"613","75147"
"614","75041"
"615","90035"
"616","79903"
"617","75223"
"618","77028"
"619","24101"
"620","99208"
"621","53521"
"622","53027"
"623","53058"
"624","29118"
"625","29516"
"626","90813"
"627","75078"
"628","77367"
"629","75762"
"630","99353"
"631","22460"
"632","06777"
"633","54560"
"634","94950"
"635","57104"
"636","02802"
"637","80920"
"638","29449"
"639","79540"
"640","75667"
"641","79344"
"642","76466"
"643","79699"
"644","98936"
"645","98568"
"646","60110"
"647","80727"
"648","80544"
"649","80825"
"650","35203"
"651","36606"
"652","19530"
"653","36748"
"654","35046"
"655","35228"
"656","57317"
"657","38066"
"658","42451"
"659","80466"
"660","46356"
"661","01830"
"662","21403"
"663","04750"
"664","45771"
"665","08069"
"666","07760"
"667","10526"
"668","35457"
"669","36703"
"670","30464"
"671","06906"
"672","36580"
"673","36535"
"674","36526"
"675","62443"
"676","20676"
"677","51241"
"678","88231"
"679","38460"
"680","10304"
"681","35671"
"682","06111"
"683","95648"
"684","91759"
"685","71676"
"686","94577"
"687","36112"
"688","06405"
"689","04849"
"690","04650"
"691","56036"
"692","56138"
"693","33020"
"694","57068"
"695","13152"
"696","07832"
"697","36013"
"698","36039"
"699","99648"
"700","85650"
"701","81067"
"702","06071"
"703","19803"
"704","06350"
"705","49670"
"706","50060"
"707","07732"
"708","08535"
"709","08542"
"710","87322"
"711","19021"
"712","87566"
"713","85616"
"714","85284"
"715","06608"
"716","99565"
"717","19953"
"718","92308"
"719","06355"
