,zipcode,county,state,latitude,longitude
26958,60087,Lake County,IL,42.39217499999999,-87.85133789999999
26959,45612,Ross County,OH,39.2326802,-83.3148018
26960,61329,Bureau County,IL,41.3759255,-89.2062985
26961,41472,Morgan County,KY,37.9096577,-83.2077645
26962,47519,Daviess County,IN,38.6453952,-86.9724198
26963,46176,Shelby County,IN,39.5137401,-85.78716630000001
26964,55614,Lake County,MN,47.3235018,-91.3567206
26965,48726,Tuscola County,MI,43.6223914,-83.12200740000002
26966,25534,Lincoln County,WV,38.0574585,-82.274624
26967,92364,San Bernardino County,CA,35.3490313,-115.6154732
26968,45776,Meigs County,OH,39.182761,-82.0298154
26969,33157,Miami-Dade County,FL,25.6085924,-80.3380213
26970,30752,Dade County,GA,34.8911615,-85.5406209
26971,84035,Uintah County,UT,40.2499367,-109.2355764
26972,21048,Carroll County,MD,39.4948262,-76.90668289999999
26973,84779,Washington County,UT,37.3764602,-113.1203315
26974,78657,Llano County,TX,30.5451919,-98.385532
26975,13489,Oneida County,NY,43.46031139999999,-75.55096019999999
26976,76704,McLennan County,TX,31.5726497,-97.1197867
26977,17347,York County,PA,40.0514502,-76.68829579999999
26978,29650,Greenville County,SC,34.8920374,-82.269193
26979,02140,Middlesex County,MA,42.3964457,-71.13593929999999
26980,31005,Houston County,GA,32.51964,-83.5603112
26981,28384,Robeson County,NC,34.7769422,-78.95145099999999
26982,93410,San Luis Obispo County,CA,35.2950035,-120.6548617
26983,14037,Wyoming County,NY,42.8028663,-78.4524591
26984,68418,Otoe County,NE,40.6812396,-96.3864428
26985,54822,Barron County,WI,45.41805060000001,-91.7211948
26986,32707,Seminole County,FL,28.6678749,-81.31243409999999
26987,31792,Thomas County,GA,30.7819709,-84.0378894
26988,49849,Marquette County,MI,46.4547129,-87.7001071
26989,07932,Morris County,NJ,40.7772437,-74.38806989999999
26990,74022,Washington County,OK,36.9121562,-95.9621106
26991,57638,Perkins County,SD,45.7857292,-102.1970288
26992,94586,Alameda County,CA,37.5867626,-121.8334868
26993,07103,Essex County,NJ,40.7383636,-74.197388
26994,08551,Hunterdon County,NJ,40.4465831,-74.8390162
26995,54832,Bayfield County,WI,46.3166172,-91.3097606
26996,32058,Bradford County,FL,30.0833148,-82.10606829999999
26997,28625,Iredell County,NC,35.8509953,-80.8765205
26998,57002,Brookings County,SD,44.2605352,-96.6851982
26999,65777,Howell County,MO,36.5174338,-91.9783666
27000,77376,Hardin County,TX,30.4328996,-94.6760395
27001,73542,Tillman County,OK,34.3917147,-99.0184379
27002,56653,Koochiching County,MN,48.3049267,-93.5281738
27003,55055,Washington County,MN,44.8719676,-93.0025615
27004,34473,Marion County,FL,28.9821357,-82.1931149
27005,73942,Texas County,OK,36.812341,-101.6157773
27006,04068,Oxford County,ME,43.85173959999999,-70.92854320000001
27007,25021,Boone County,WV,37.93546130000001,-81.6829431
27008,64733,Johnson County,MO,38.569051,-93.8451731
27009,87528,Rio Arriba County,NM,36.7078973,-106.9594723
27010,19145,Philadelphia County,PA,39.908085,-75.1953934
27011,90044,Los Angeles County,CA,33.9478802,-118.2935891
27012,47952,Fountain County,IN,39.9709267,-87.32149079999999
27013,64065,Jackson County,MO,38.9408491,-94.4048795
27014,73019,Cleveland County,OK,35.1879507,-97.4421919
