,ClimateZone,Case,PUE_quantiles,WUE_quantiles,CoolingSystem
41,2B,9,"[1.95105767, 2.0570586250000003, 2.17464555, 2.404009125, 2.8457288899999997]","[0.024990378320217055, 0.0421177074313163, 0.06374950706958771, 0.08560958132147785, 0.10359495803713796]",Air-cooled chiller
42,3A,0,"[1.138719825, 1.182568775, 1.22090575, 1.2518290749999998, 1.2944029300000002]","[0.007998922700062345, 0.0143876574002206, 0.019464807584881748, 0.024970344733446774, 0.03357925061136479]",Airside economizer& adiabatic cooling (air-cooled chiller)
43,3A,1,"[1.100557905, 1.136074875, 1.1713044, 1.20214685, 1.23629962]","[0.4160301774740219, 0.6653318405151367, 0.8636100590229034, 1.0753232538700104, 1.3786010801792146]",Airside economizer& adiabatic cooling (water-cooled chiller)
44,3A,10,"[1.910280995, 2.0039464, 2.0959985, 2.250087725, 2.3971591]","[0.025018341466784423, 0.04221671260893343, 0.06357872113585464, 0.08590601570904252, 0.10364268012344834]",Direct expansion system
45,3A,11,"[1.683777445, 1.794690275, 1.8908200499999999, 2.0459202249999997, 2.2364981250000002]","[0.023822147026658025, 0.039629122242331505, 0.0600906200706958, 0.08053111657500266, 0.09822640679776663]",Direct expansion system
46,3A,12,"[1.71772132, 1.827601375, 1.9077882000000002, 2.0075364, 2.17098768]","[0.01801777780055993, 0.0282174213789403, 0.043192105367779704, 0.05710786674171677, 0.07651219405233857]",Airside economizer (direct expansion system)
47,3A,13,"[1.472166495, 1.552658725, 1.62129315, 1.7014724499999998, 1.8378299900000001]","[0.01304270885884758, 0.0196209521964192, 0.02651850972324605, 0.036161039955914, 0.05440099276602262]",Airside economizer (direct expansion system)
48,3A,17,"[1.53005165, 1.61612715, 1.6957395, 1.7830103, 1.94872382]","[0.023602812923490944, 0.03985582757741207, 0.0600503329187631, 0.08045366406440728, 0.09794676527380941]",Dry cooler (air-cooled chiller)
49,3A,3,"[1.3583781400000001, 1.424380625, 1.48600185, 1.546053675, 1.607624645]","[1.073277860879898, 1.322974532842636, 1.502238154411316, 1.7068393230438235, 2.0099032044410707]",Airside economizer& (water-cooled chiller)
50,3A,4,"[1.2854567000000001, 1.338470775, 1.39149705, 1.44450025, 1.507458085]","[2.1293803572654726, 2.324978768825531, 2.499285340309143, 2.66996031999588, 2.913070857524872]",Waterside economizer& (water-cooled chiller)
51,3A,5,"[1.444550985, 1.506041225, 1.5607685999999998, 1.616864675, 1.68133068]","[2.5816522002220155, 2.790801584720612, 2.9839481115341187, 3.177831053733826, 3.4668755888938905]",Water-cooled chiller
52,3A,6,"[1.4988462599999999, 1.5837843, 1.6574882999999998, 1.74106105, 1.89633377]","[0.010468120919540476, 0.0186499543488025, 0.029148013330996002, 0.039885186590254224, 0.05720986183732743]",Airside economizer& (air-cooled chiller)
53,3A,7,"[1.67399304, 1.7846226, 1.88592475, 2.039255325, 2.30680786]","[0.02371292533352968, 0.039651752449572, 0.06015198491513725, 0.08111858554184433, 0.09763757660984985]",Air-cooled chiller
54,3A,8,"[1.62630045, 1.693812975, 1.7542339500000002, 1.818530325, 1.91676811]","[2.8649193406105042, 3.1186431646347046, 3.3452064990997314, 3.5562647581100464, 3.8947224378585816]",Water-cooled chiller
55,3A,9,"[1.863782185, 1.95426775, 2.0495402499999997, 2.23065765, 2.54662894]","[0.025068681035190804, 0.04226661287248128, 0.06358128041028975, 0.08596222288906573, 0.10343995876610272]",Air-cooled chiller
56,3B,0,"[1.1081035315990448, 1.1500187814235687, 1.1825859423095704, 1.214927762746811, 1.2676729440689087]","[0.004651460493914751, 0.011711905244737801, 0.0188525756821036, 0.029345626011490752, 0.04756721742451187]",Airside economizer& adiabatic cooling (air-cooled chiller)
57,3B,1,"[1.0795738642642212, 1.1110691702671052, 1.1397098898887634, 1.1713766157627106, 1.206323515]","[0.13630445823073384, 0.300168976187706, 0.43701380491256714, 0.6240546256303787, 0.9522576838731764]",Airside economizer& adiabatic cooling (water-cooled chiller)
58,3B,10,"[1.9053830730195618, 2.00224632024765, 2.1031031608581543, 2.249241352081299, 2.425701344013214]","[0.025120828393846672, 0.0421088673174381, 0.06376688927412025, 0.0855652745813131, 0.10353310965001579]",Direct expansion system
59,3B,11,"[1.6789755629348755, 1.7986647170158387, 1.905261754989624, 2.0457063337677, 2.2546725299999997]","[0.023723759409040146, 0.03978809807449575, 0.059979161247611004, 0.08092647418379775, 0.09780675731599324]",Direct expansion system
60,3B,12,"[1.6111346125602721, 1.7389264899814607, 1.8512749, 1.9808766000000002, 2.2147814699999997]","[0.014876512624323315, 0.024471844546496827, 0.03510447777807705, 0.049691211432218524, 0.0752145897597074]",Airside economizer (direct expansion system)
61,3B,13,"[1.387111995, 1.4841327, 1.55996575, 1.653287325, 1.8203754149999998]","[0.00919345794245593, 0.014898188179358826, 0.02130199037492275, 0.0308800269849598, 0.04866175036877391]",Airside economizer (direct expansion system)
62,3B,17,"[1.475581431388855, 1.583159225, 1.6701898431594846, 1.7792564155532837, 1.979083920363922]","[0.023665450047701538, 0.03985317330807445, 0.0603826735168695, 0.0803929958492517, 0.09768909066915511]",Dry cooler (air-cooled chiller)
63,3B,3,"[1.335115498304367, 1.397335261106491, 1.4531823828338624, 1.5080873145397187, 1.574147915840149]","[0.561001655459404, 0.8962910026311874, 1.1771535277366638, 1.4540625512599945, 1.8419224977493283]",Airside economizer& (water-cooled chiller)
64,3B,4,"[1.2679074124689484, 1.3200992120624542, 1.370821041989136, 1.4224693179130554, 1.4837010289328765]","[2.1316728949546815, 2.322659194469452, 2.5025800466537476, 2.668275237083435, 2.916122603416442]",Waterside economizer& (water-cooled chiller)
65,3B,5,"[1.4302070070831299, 1.4900032172603608, 1.542977052116394, 1.6000614166259766, 1.6671439662599945]","[2.5446626424789427, 2.7445207238197327, 2.9417483806610107, 3.1301551461219788, 3.4097385168075562]",Water-cooled chiller
66,3B,6,"[1.428150475025177, 1.5277607440948486, 1.6179709999999998, 1.7199043853240967, 1.9421715515831752]","[0.00678793406113977, 0.014248942490667051, 0.022301146760582848, 0.03351951390504835, 0.05295714586973184]",Airside economizer& (air-cooled chiller)
67,3B,7,"[1.6869595050811768, 1.7957914471626282, 1.9056105613708496, 2.0727007, 2.369191881950531]","[0.023862479999661394, 0.03991228062659495, 0.06003568507730955, 0.08055917173624033, 0.09779341332614416]",Air-cooled chiller
68,3B,8,"[1.6022275745868684, 1.6713113166545868, 1.731145568660736, 1.7906560381153107, 1.8811378955841063]","[2.812237191200257, 3.072727680206299, 3.2718119621276855, 3.4807172417640686, 3.796698236465454]",Water-cooled chiller
