,ClimateZone,Case,PUE_quantiles,WUE_quantiles,CoolingSystem
131,5A,13,"[1.38882085, 1.4675094999999998, 1.5339915, 1.607824775, 1.716958805]","[0.01138325370848176, 0.017165972385555475, 0.023192311637103502, 0.031860610470175674, 0.0488980332389473]",Airside economizer (direct expansion system)
132,5A,17,"[1.422949845, 1.4957619000000002, 1.5624363, 1.63158535, 1.734450135]","[0.023470811266452042, 0.0399382086470723, 0.060345396399497944, 0.0805313941091299, 0.09767474271357056]",Dry cooler (air-cooled chiller)
133,5A,3,"[1.3260219, 1.3842968249999998, 1.4423332000000002, 1.49911975, 1.5609136149999998]","[0.8588312178850174, 1.0842215716838837, 1.2665681838989258, 1.467389315366745, 1.754002869129181]",Airside economizer& (water-cooled chiller)
134,5A,4,"[1.265782375, 1.319280875, 1.3726179, 1.42521465, 1.4920653]","[2.1270923256874084, 2.316560685634613, 2.4940133094787598, 2.66521954536438, 2.9045177340507506]",Waterside economizer& (water-cooled chiller)
135,5A,5,"[1.4035547149999998, 1.4576254499999999, 1.51264455, 1.5690519250000001, 1.633595435]","[2.4782098770141605, 2.6823719143867493, 2.8785570859909058, 3.0578585267066956, 3.3327868461608885]",Water-cooled chiller
136,5A,6,"[1.4114668400000001, 1.48967695, 1.55311745, 1.62337205, 1.7531371199999999]","[0.008297424437478105, 0.015850501600652874, 0.023928200826048802, 0.03472598735243075, 0.05264754705131048]",Airside economizer& (air-cooled chiller)
137,5A,7,"[1.607050675, 1.707259925, 1.8047923, 1.921438925, 2.131365405]","[0.023618139699101415, 0.039792181923985454, 0.060024330392479855, 0.08082320168614382, 0.09791261479258533]",Air-cooled chiller
138,5A,8,"[1.572782115, 1.6360766, 1.6884515, 1.743924675, 1.83006203]","[2.7422168374061586, 2.976641535758972, 3.1870272159576416, 3.393176674842835, 3.7121831417083735]",Water-cooled chiller
139,5A,9,"[1.7863038549999999, 1.872829925, 1.95355835, 2.092688375, 2.340384]","[0.02496721316128963, 0.04212879482656715, 0.0634834542870521, 0.08598073944449419, 0.10332380458712574]",Air-cooled chiller
140,5B,0,"[1.087328325, 1.114960875, 1.1385499000000001, 1.164265775, 1.20621346]","[0.001852423249510975, 0.008971171453595075, 0.016342073678970302, 0.024609508458524852, 0.03879893254488702]",Airside economizer& adiabatic cooling (air-cooled chiller)
141,5B,1,"[1.0654870049999998, 1.094694425, 1.1204931, 1.1522851, 1.1875278]","[0.0, 0.06490163318812843, 0.13143374770879745, 0.22599303722381586, 0.5047368705272671]",Airside economizer& adiabatic cooling (water-cooled chiller)
142,5B,10,"[1.85881048, 1.954710875, 2.0383805500000003, 2.180975225, 2.323395385834503]","[0.02509559057652942, 0.04216264653950923, 0.06350595131516454, 0.08554467186331745, 0.10344309546053401]",Direct expansion system
143,5B,11,"[1.649807115, 1.757844725, 1.8474949500000002, 1.986181225, 2.17410039]","[0.023620504979044197, 0.039846416562795625, 0.06009782105684275, 0.08095291815698144, 0.09927973635494705]",Direct expansion system
144,5B,12,"[1.656937785, 1.778624925, 1.85816915, 1.9495497, 2.1467721049999997]","[0.01756683345884076, 0.0288218292407691, 0.041501149535179055, 0.0545185143128037, 0.07392777912318703]",Airside economizer (direct expansion system)
145,5B,13,"[1.341833915, 1.432024625, 1.51090635, 1.5921016749999999, 1.7221580399999998]","[0.00752927591092881, 0.013994761742651424, 0.0202799485996365, 0.0299073872156441, 0.04748813025653354]",Airside economizer (direct expansion system)
146,5B,17,"[1.41477084, 1.4933828500000002, 1.55635955, 1.627833625, 1.7365579299999998]","[0.0233081698417663, 0.0400888109579682, 0.060210848227143246, 0.08041076920926563, 0.09816421009600156]",Dry cooler (air-cooled chiller)
147,5B,3,"[1.316482975, 1.366702825, 1.4224225499999998, 1.477990875, 1.542194625]","[0.4416047468781471, 0.7962689846754074, 1.0785815119743347, 1.3457366228103638, 1.7228093206882475]",Airside economizer& (water-cooled chiller)
148,5B,4,"[1.2574464300000001, 1.312976575, 1.36408225, 1.4176712999999999, 1.4832472399999999]","[2.125212466716767, 2.305542290210724, 2.4845454692840576, 2.6579745411872864, 2.911248755455017]",Waterside economizer& (water-cooled chiller)
149,5B,5,"[1.38745699, 1.4387552000000001, 1.49552695, 1.5515232, 1.61511828]","[2.450720000267028, 2.64563524723053, 2.832415223121643, 3.0112302899360666, 3.27179958820343]",Water-cooled chiller
150,5B,6,"[1.37563331, 1.465319275, 1.5395790903900146, 1.616361975, 1.765352555]","[0.0026691518025472503, 0.0108799808658659, 0.018837744370102848, 0.029906934127211474, 0.04805430788546795]",Airside economizer& (air-cooled chiller)
151,5B,7,"[1.610979795, 1.7166765499999999, 1.81507575, 1.9355049500000001, 2.152598265]","[0.023412473034113573, 0.039542122744023724, 0.0600639786571264, 0.0810841601341962, 0.09808436594903462]",Air-cooled chiller
152,5B,8,"[1.5485147449999999, 1.614334725, 1.66197335, 1.718302375, 1.7941926750000001]","[2.675175189971924, 2.925128161907196, 3.126235246658325, 3.323851227760315, 3.6399446368217463]",Water-cooled chiller
153,5B,9,"[1.7959430650000001, 1.8793470499999998, 1.9690139, 2.11606265, 2.365692775]","[0.025222646165639143, 0.0421576146036386, 0.06355867162346834, 0.08577479235827917, 0.10343221127986905]",Air-cooled chiller
154,6A,0,"[1.0917859650000001, 1.126284775, 1.1558629, 1.1829963000000001, 1.216972625]","[0.00726015346590427, 0.01267640665173525, 0.01644628122448915, 0.020737518556415972, 0.029077674075961072]",Airside economizer& adiabatic cooling (air-cooled chiller)
155,6A,1,"[1.07532318, 1.1047540249999999, 1.13461925, 1.1620874250000002, 1.196268925]","[0.10315021201968191, 0.23148947954177854, 0.33358354866504664, 0.4552239626646042, 0.6959615290164949]",Airside economizer& adiabatic cooling (water-cooled chiller)
156,6A,10,"[1.829483285, 1.91727755, 1.99947265, 2.1287375500000003, 2.26227767]","[0.025224563572555727, 0.0422018906101584, 0.0635479092597961, 0.08575956150889393, 0.10370279140770428]",Direct expansion system
157,6A,11,"[1.6167358, 1.7204055249999999, 1.8110087, 1.936796475, 2.10420232]","[0.02371210139244786, 0.03956982772797338, 0.06012071855366225, 0.08074527233839032, 0.0984675910323858]",Direct expansion system
158,6A,12,"[1.638153985, 1.7298198500000002, 1.8003000999999998, 1.88347895, 2.02094187]","[0.01694776304066178, 0.028253607917576976, 0.0423751194030046, 0.05399595946073528, 0.072178353741765]",Airside economizer (direct expansion system)
159,6A,13,"[1.3752897899999998, 1.45340055, 1.52247425, 1.591403475, 1.694065225]","[0.011849268386140416, 0.0178550630807876, 0.02441315259784455, 0.033902606926858356, 0.05117926113307475]",Airside economizer (direct expansion system)
160,6A,17,"[1.39946716, 1.46915625, 1.5298497, 1.5973298249999999, 1.69466303]","[0.023392824269831095, 0.03981910552829497, 0.0602016746997833, 0.08092004805803298, 0.09808386191725722]",Dry cooler (air-cooled chiller)
161,6A,3,"[1.320647635, 1.377155675, 1.4337436000000001, 1.489725425, 1.549988855]","[0.9053827583789825, 1.1265523135662079, 1.3022035360336304, 1.4898315072059634, 1.7691496670246125]",Airside economizer& (water-cooled chiller)
162,6A,4,"[1.262865825, 1.3166498, 1.36919725, 1.42419905, 1.48986734]","[2.123815083503723, 2.312889277935028, 2.4878445863723764, 2.6591957807540894, 2.9081629991531375]",Waterside economizer& (water-cooled chiller)
163,6A,5,"[1.3874569449999998, 1.44343605, 1.4985385, 1.556119675, 1.619167285]","[2.450707304477691, 2.653926134109497, 2.8486545085906982, 3.020833134651184, 3.3014507293701167]",Water-cooled chiller
164,6A,6,"[1.38844788, 1.468578825, 1.5343129, 1.60677125, 1.7360877650000002]","[0.00849103499203913, 0.016558526083826977, 0.02515885606408115, 0.0359183000400662, 0.05276577323675152]",Airside economizer& (air-cooled chiller)
165,6A,7,"[1.58143587, 1.6773035, 1.7731129, 1.8809662, 2.06828426]","[0.02379369186237452, 0.03980931732803575, 0.06001238897442815, 0.08105313964188098, 0.09782319404184818]",Air-cooled chiller
166,6A,8,"[1.55571044, 1.6176636, 1.6698642, 1.721908375, 1.79812962]","[2.7085173606872557, 2.9389873147010803, 3.141768217086792, 3.3469712734222408, 3.6548296689987185]",Water-cooled chiller
167,6A,9,"[1.758331395, 1.8437727, 1.91684375, 2.044901075, 2.266412125]","[0.025213491916656432, 0.04223612695932385, 0.0636223219335079, 0.08583968691527838, 0.10360803008079522]",Air-cooled chiller
168,6B,0,"[1.081497335, 1.109933025, 1.1312674999999999, 1.1590814, 1.1985533]","[0.004919884609989765, 0.01086683967150745, 0.015133934561163149, 0.019973775837570373, 0.029066969919949705]",Airside economizer& adiabatic cooling (air-cooled chiller)
169,6B,1,"[1.06450927, 1.0919715, 1.1194655500000001, 1.1501484, 1.1873660400000001]","[0.0, 0.03678562119603153, 0.09664772823452944, 0.1879204772412776, 0.4322360157966613]",Airside economizer& adiabatic cooling (water-cooled chiller)
170,6B,10,"[1.835624465, 1.917243525, 2.0067879, 2.1360327, 2.27221715]","[0.02541981842368833, 0.0420533716678619, 0.06348464265465735, 0.0855225902050733, 0.10370980985462662]",Direct expansion system
171,6B,11,"[1.61961039, 1.728296175, 1.81594245, 1.947767225, 2.1201369899999998]","[0.023976530320942394, 0.03974448796361678, 0.060119815170764895, 0.08083771355450145, 0.09857590384781355]",Direct expansion system
172,6B,12,"[1.6748639250000001, 1.7654713499999999, 1.83598265, 1.914974075, 2.093276285]","[0.01883835559710856, 0.029324937146156974, 0.0434164516627788, 0.055116811767220476, 0.07395608909428117]",Airside economizer (direct expansion system)
173,6B,13,"[1.349826875, 1.43158425, 1.4987235, 1.576891275, 1.68118131]","[0.010992339532822346, 0.016486742068082073, 0.0225749593228101, 0.031325983814895125, 0.04911218304187053]",Airside economizer (direct expansion system)
174,6B,17,"[1.395343795, 1.463994, 1.52395315, 1.579921225, 1.6662326250000001]","[0.023354430589824872, 0.0398917533457279, 0.0601133238524198, 0.08059999346733093, 0.09747353531420228]",Dry cooler (air-cooled chiller)
175,6B,3,"[1.3120956449999999, 1.36326635, 1.4149063499999999, 1.4742054, 1.5369407800000001]","[0.7162172079086304, 0.9598544090986253, 1.1522870659828186, 1.3615781664848328, 1.6365454137325286]",Airside economizer& (water-cooled chiller)
176,6B,4,"[1.25605754, 1.3111576, 1.3641413999999998, 1.4154143, 1.48455285]","[2.119086742401123, 2.3061147332191467, 2.4789340496063232, 2.653733730316162, 2.897125697135925]",Waterside economizer& (water-cooled chiller)
177,6B,5,"[1.375708375, 1.4251083500000001, 1.4833628, 1.538293125, 1.599460575]","[2.420785903930664, 2.6138141751289368, 2.8135064840316772, 2.9928840994834904, 3.2681450724601744]",Water-cooled chiller
178,6B,6,"[1.3640161, 1.448471775, 1.51246525, 1.58375025, 1.718353025]","[0.004099842440336925, 0.012931532226502875, 0.020810985006391947, 0.03171276021748775, 0.0485350221395492]",Airside economizer& (air-cooled chiller)
179,6B,7,"[1.588415045, 1.684815425, 1.7702362, 1.883665025, 2.077877845]","[0.0235204631462693, 0.0396909080445766, 0.06019466742873185, 0.08117637969553465, 0.0979494579136371]",Air-cooled chiller
180,6B,8,"[1.53996127, 1.598852925, 1.64680605, 1.695761675, 1.777888525]","[2.6511849999427795, 2.8801379203796387, 3.0812476873397827, 3.283685564994812, 3.6138630867004395]",Water-cooled chiller
181,6B,9,"[1.76596657, 1.84349355, 1.9255482000000002, 2.05475415, 2.27167265]","[0.024993620906025086, 0.04221637453883883, 0.0637736469507217, 0.08599298074841492, 0.10372837632894513]",Air-cooled chiller
182,7,0,"[1.078759895, 1.1071586310863495, 1.133902437033844, 1.1627538000587463, 1.19762028]","[0.0039145954768173155, 0.011288074543699601, 0.0163212874904274, 0.021427272818982573, 0.030137693602591678]",Airside economizer& adiabatic cooling (air-cooled chiller)
183,7,1,"[1.0662566789498138, 1.096264125, 1.1240149825874326, 1.1521770249999999, 1.185451325]","[0.0, 0.04941464681178325, 0.16166569292545313, 0.28600083291530604, 0.5150490909814831]",Airside economizer& adiabatic cooling (water-cooled chiller)
184,7,10,"[1.80830165, 1.8937783750000001, 1.971275585334015, 2.094924150942993, 2.2280896]","[0.0250632870942354, 0.0421495661139488, 0.06326832622289655, 0.08596509322524065, 0.10343336686491958]",Direct expansion system
185,7,11,"[1.5943577004585263, 1.69708895, 1.7855228215690613, 1.9053621927562712, 2.0682934761047362]","[0.023712668195366778, 0.039551397785544354, 0.059662535786628695, 0.08087082579731936, 0.09763506241142736]",Direct expansion system
186,7,12,"[1.5982335269451142, 1.692479825, 1.7618585180633546, 1.84314345, 1.98117495]","[0.01667311759665602, 0.027829651255160525, 0.0408706218004226, 0.05324987508356568, 0.07252908460795868]",Airside economizer (direct expansion system)
187,7,13,"[1.33253493, 1.4180986, 1.4861737, 1.561755775, 1.6671497349999997]","[0.009234214015304986, 0.016085806768387476, 0.02318729832768435, 0.03338123857974997, 0.05099429953843348]",Airside economizer (direct expansion system)
188,7,17,"[1.3335796058177949, 1.4101225505950927, 1.473255236921692, 1.537643175, 1.6309731849999998]","[0.023565137945115527, 0.039897313341498354, 0.06042435765266415, 0.08070949465036392, 0.09782472476363177]",Dry cooler (air-cooled chiller)
189,7,3,"[1.3046002890187836, 1.3610706627368927, 1.41566155, 1.47354925, 1.538160125]","[0.5668727487325669, 0.9821534454822539, 1.2268564701080322, 1.4579302370548248, 1.7499743998050687]",Airside economizer& (water-cooled chiller)
190,7,4,"[1.258609602340088, 1.312726467847824, 1.363785216786194, 1.4169442649848938, 1.484162285]","[2.1212278008461, 2.3102017641067505, 2.4834104776382446, 2.658466100692749, 2.916337084770203]",Waterside economizer& (water-cooled chiller)
191,7,5,"[1.36797024, 1.4208991705524445, 1.48037165, 1.53661665, 1.5988704498838042]","[2.4060365676879885, 2.6018635630607605, 2.8022981882095337, 2.976874887943268, 3.248597693443298]",Water-cooled chiller
192,7,6,"[1.353654675, 1.4332531742706298, 1.5021559845100403, 1.567455925, 1.686237755]","[0.00577062789816401, 0.014410409843549075, 0.02293442562222475, 0.034312208183109726, 0.052311470545828305]",Airside economizer& (air-cooled chiller)
193,7,7,"[1.550402168093567, 1.643235725, 1.7363292665420533, 1.8388750541942598, 2.01603348]","[0.02349605839699504, 0.03967122919857498, 0.0601512920111417, 0.08078641071915625, 0.09786421135067934]",Air-cooled chiller
194,7,8,"[1.5303941786289215, 1.589183121919632, 1.6385532382492065, 1.6905835500000002, 1.76762194]","[2.6496888518333437, 2.8789635896682744, 3.079879403114319, 3.279527604579926, 3.585026597976684]",Water-cooled chiller
195,7,9,"[1.7250359199999998, 1.8082223, 1.8815884653686523, 1.9973812886047364, 2.18813288]","[0.024975654389709227, 0.042157456278800874, 0.0638255216181278, 0.08613650687038894, 0.10344580411911002]",Air-cooled chiller
196,8,0,"[1.0682636022567749, 1.095254510641098, 1.1187258958816528, 1.1458046734333038, 1.1787516951560975]","[0.006362146721221415, 0.015413005836307975, 0.02166489697992795, 0.027555709239095425, 0.037949693016707815]",Airside economizer& adiabatic cooling (air-cooled chiller)
197,8,1,"[1.0624815464019775, 1.091035783290863, 1.1176289916038513, 1.143278330564499, 1.1770873486995697]","[0.0, 0.0181276621297001, 0.04653751477599135, 0.10978424735367295, 0.3235464081168173]",Airside economizer& adiabatic cooling (water-cooled chiller)
198,8,10,"[1.7490290582180024, 1.8323320448398588, 1.9063054323196411, 2.0049296021461487, 2.149967443943024]","[0.025124215334653775, 0.04259506426751612, 0.06411935761570925, 0.08579225651919839, 0.10349683426320545]",Direct expansion system
199,8,11,"[1.5453687131404876, 1.6396211683750153, 1.7241172790527344, 1.823490381240845, 1.9907468199729919]","[0.02352206278592343, 0.03956339880824082, 0.05997329205274575, 0.08037903718650338, 0.09754206053912633]",Direct expansion system
200,8,12,"[1.5931623995304107, 1.6744031310081482, 1.7386724948883057, 1.8067373335361485, 1.955893987417221]","[0.018659558054059673, 0.0305497529916465, 0.046134529635310145, 0.059308938682079246, 0.07973706573247903]",Airside economizer (direct expansion system)
201,8,13,"[1.3345671, 1.4154397, 1.4837873, 1.54930505, 1.644270595]","[0.011698126746341554, 0.0189864658750593, 0.028495071455836248, 0.04086216818541285, 0.05873523373156784]",Airside economizer (direct expansion system)
202,8,17,"[1.3145776093006134, 1.3706402480602264, 1.4285148978233337, 1.4878310263156893, 1.56395982503891]","[0.02389729609712952, 0.040125705301761544, 0.060547389090061146, 0.080189436674118, 0.09720143638551232]",Dry cooler (air-cooled chiller)
203,8,3,"[1.3057645201683044, 1.3505808115005493, 1.4035614728927612, 1.463535875082016, 1.5269772589206696]","[0.8566497921943664, 1.1950896382331848, 1.4069600701332092, 1.6389379799365997, 1.9430613934993743]",Airside economizer& (water-cooled chiller)
204,8,4,"[1.258134788274765, 1.3126000761985779, 1.3605265021324158, 1.4153492152690887, 1.4808836400508882]","[2.111636793613434, 2.3106079697608948, 2.4720160961151123, 2.6508909463882446, 2.8730086088180538]",Waterside economizer& (water-cooled chiller)
205,8,5,"[1.34410520195961, 1.398920863866806, 1.4505887627601624, 1.5089485049247742, 1.5738160967826844]","[2.3499578714370726, 2.5420783162117004, 2.73748242855072, 2.927601456642151, 3.1981147289276124]",Water-cooled chiller
206,8,6,"[1.3378873765468597, 1.4210698306560516, 1.4744715094566345, 1.5448777973651886, 1.649303078651428]","[0.008777258731424735, 0.018279291689395873, 0.0277166478335857, 0.0409379201009869, 0.058040054887533124]",Airside economizer& (air-cooled chiller)
207,8,7,"[1.4983062088489532, 1.5826501548290253, 1.6656423807144165, 1.7487092912197113, 1.8792353391647336]","[0.023767355270683712, 0.03987128939479585, 0.059915320947766304, 0.08083589561283584, 0.09837689921259873]",Air-cooled chiller
208,8,8,"[1.5002883195877075, 1.5545982122421265, 1.595943808555603, 1.643528789281845, 1.7146104395389556]","[2.596524167060852, 2.7902180552482605, 3.0139458179473877, 3.1907324790954585, 3.494629740715027]",Water-cooled chiller
209,8,9,"[1.6622849464416505, 1.7406194806098938, 1.801267743110657, 1.8901211023330688, 2.059513735771179]","[0.02500154897570604, 0.042297447100281674, 0.06398155540227884, 0.08566835895180698, 0.10386430658400053]",Air-cooled chiller
